linetype	x	showSelectedlegendlinetype	PANEL	group
solid	-2	prediction	1	1
solid	-1.9748743718593	prediction	1	2
solid	-1.94974874371859	prediction	1	3
solid	-1.92462311557789	prediction	1	4
solid	-1.89949748743719	prediction	1	5
solid	-1.87437185929648	prediction	1	6
solid	-1.84924623115578	prediction	1	7
solid	-1.82412060301508	prediction	1	8
solid	-1.79899497487437	prediction	1	9
solid	-1.77386934673367	prediction	1	10
solid	-1.74874371859296	prediction	1	11
solid	-1.72361809045226	prediction	1	12
solid	-1.69849246231156	prediction	1	13
solid	-1.67336683417085	prediction	1	14
solid	-1.64824120603015	prediction	1	15
solid	-1.62311557788945	prediction	1	16
solid	-1.59798994974874	prediction	1	17
solid	-1.57286432160804	prediction	1	18
solid	-1.54773869346734	prediction	1	19
solid	-1.52261306532663	prediction	1	20
solid	-1.49748743718593	prediction	1	21
solid	-1.47236180904523	prediction	1	22
solid	-1.44723618090452	prediction	1	23
solid	-1.42211055276382	prediction	1	24
solid	-1.39698492462312	prediction	1	25
solid	-1.37185929648241	prediction	1	26
solid	-1.34673366834171	prediction	1	27
solid	-1.32160804020101	prediction	1	28
solid	-1.2964824120603	prediction	1	29
solid	-1.2713567839196	prediction	1	30
solid	-1.24623115577889	prediction	1	31
solid	-1.22110552763819	prediction	1	32
solid	-1.19597989949749	prediction	1	33
solid	-1.17085427135678	prediction	1	34
solid	-1.14572864321608	prediction	1	35
solid	-1.12060301507538	prediction	1	36
solid	-1.09547738693467	prediction	1	37
solid	-1.07035175879397	prediction	1	38
solid	-1.04522613065327	prediction	1	39
solid	-1.02010050251256	prediction	1	40
solid	-0.994974874371859	prediction	1	41
solid	-0.969849246231156	prediction	1	42
solid	-0.944723618090452	prediction	1	43
solid	-0.919597989949749	prediction	1	44
solid	-0.894472361809045	prediction	1	45
solid	-0.869346733668342	prediction	1	46
solid	-0.844221105527638	prediction	1	47
solid	-0.819095477386935	prediction	1	48
solid	-0.793969849246231	prediction	1	49
solid	-0.768844221105528	prediction	1	50
solid	-0.743718592964824	prediction	1	51
solid	-0.71859296482412	prediction	1	52
solid	-0.693467336683417	prediction	1	53
solid	-0.668341708542713	prediction	1	54
solid	-0.64321608040201	prediction	1	55
solid	-0.618090452261306	prediction	1	56
solid	-0.592964824120603	prediction	1	57
solid	-0.567839195979899	prediction	1	58
solid	-0.542713567839196	prediction	1	59
solid	-0.517587939698492	prediction	1	60
solid	-0.492462311557789	prediction	1	61
solid	-0.467336683417085	prediction	1	62
solid	-0.442211055276382	prediction	1	63
solid	-0.417085427135678	prediction	1	64
solid	-0.391959798994975	prediction	1	65
solid	-0.366834170854271	prediction	1	66
solid	-0.341708542713568	prediction	1	67
solid	-0.316582914572864	prediction	1	68
solid	-0.291457286432161	prediction	1	69
solid	-0.266331658291457	prediction	1	70
solid	-0.241206030150754	prediction	1	71
solid	-0.21608040201005	prediction	1	72
solid	-0.190954773869347	prediction	1	73
solid	-0.165829145728643	prediction	1	74
solid	-0.14070351758794	prediction	1	75
solid	-0.115577889447236	prediction	1	76
solid	-0.0904522613065326	prediction	1	77
solid	-0.0653266331658291	prediction	1	78
solid	-0.0402010050251256	prediction	1	79
solid	-0.0150753768844221	prediction	1	80
solid	0.0100502512562817	prediction	1	81
solid	0.0351758793969852	prediction	1	82
solid	0.0603015075376887	prediction	1	83
solid	0.0854271356783922	prediction	1	84
solid	0.110552763819096	prediction	1	85
solid	0.135678391959799	prediction	1	86
solid	0.160804020100503	prediction	1	87
solid	0.185929648241206	prediction	1	88
solid	0.21105527638191	prediction	1	89
solid	0.236180904522613	prediction	1	90
solid	0.261306532663317	prediction	1	91
solid	0.28643216080402	prediction	1	92
solid	0.311557788944724	prediction	1	93
solid	0.336683417085427	prediction	1	94
solid	0.361809045226131	prediction	1	95
solid	0.386934673366834	prediction	1	96
solid	0.412060301507538	prediction	1	97
solid	0.437185929648241	prediction	1	98
solid	0.462311557788945	prediction	1	99
solid	0.487437185929648	prediction	1	100
solid	0.512562814070352	prediction	1	101
solid	0.537688442211055	prediction	1	102
solid	0.562814070351759	prediction	1	103
solid	0.587939698492463	prediction	1	104
solid	0.613065326633166	prediction	1	105
solid	0.63819095477387	prediction	1	106
solid	0.663316582914573	prediction	1	107
solid	0.688442211055277	prediction	1	108
solid	0.71356783919598	prediction	1	109
solid	0.738693467336684	prediction	1	110
solid	0.763819095477387	prediction	1	111
solid	0.788944723618091	prediction	1	112
solid	0.814070351758794	prediction	1	113
solid	0.839195979899498	prediction	1	114
solid	0.864321608040201	prediction	1	115
solid	0.889447236180905	prediction	1	116
solid	0.914572864321608	prediction	1	117
solid	0.939698492462312	prediction	1	118
solid	0.964824120603015	prediction	1	119
solid	0.989949748743719	prediction	1	120
solid	1.01507537688442	prediction	1	121
solid	1.04020100502513	prediction	1	122
solid	1.06532663316583	prediction	1	123
solid	1.09045226130653	prediction	1	124
solid	1.11557788944724	prediction	1	125
solid	1.14070351758794	prediction	1	126
solid	1.16582914572864	prediction	1	127
solid	1.19095477386935	prediction	1	128
solid	1.21608040201005	prediction	1	129
solid	1.24120603015075	prediction	1	130
solid	1.26633165829146	prediction	1	131
solid	1.29145728643216	prediction	1	132
solid	1.31658291457286	prediction	1	133
solid	1.34170854271357	prediction	1	134
solid	1.36683417085427	prediction	1	135
solid	1.39195979899498	prediction	1	136
solid	1.41708542713568	prediction	1	137
solid	1.44221105527638	prediction	1	138
solid	1.46733668341709	prediction	1	139
solid	1.49246231155779	prediction	1	140
solid	1.51758793969849	prediction	1	141
solid	1.5427135678392	prediction	1	142
solid	1.5678391959799	prediction	1	143
solid	1.5929648241206	prediction	1	144
solid	1.61809045226131	prediction	1	145
solid	1.64321608040201	prediction	1	146
solid	1.66834170854271	prediction	1	147
solid	1.69346733668342	prediction	1	148
solid	1.71859296482412	prediction	1	149
solid	1.74371859296482	prediction	1	150
solid	1.76884422110553	prediction	1	151
solid	1.79396984924623	prediction	1	152
solid	1.81909547738693	prediction	1	153
solid	1.84422110552764	prediction	1	154
solid	1.86934673366834	prediction	1	155
solid	1.89447236180905	prediction	1	156
solid	1.91959798994975	prediction	1	157
solid	1.94472361809045	prediction	1	158
solid	1.96984924623116	prediction	1	159
solid	1.99497487437186	prediction	1	160
solid	2.02010050251256	prediction	1	161
solid	2.04522613065327	prediction	1	162
solid	2.07035175879397	prediction	1	163
solid	2.09547738693467	prediction	1	164
solid	2.12060301507538	prediction	1	165
solid	2.14572864321608	prediction	1	166
solid	2.17085427135678	prediction	1	167
solid	2.19597989949749	prediction	1	168
solid	2.22110552763819	prediction	1	169
solid	2.24623115577889	prediction	1	170
solid	2.2713567839196	prediction	1	171
solid	2.2964824120603	prediction	1	172
solid	2.32160804020101	prediction	1	173
solid	2.34673366834171	prediction	1	174
solid	2.37185929648241	prediction	1	175
solid	2.39698492462312	prediction	1	176
solid	2.42211055276382	prediction	1	177
solid	2.44723618090452	prediction	1	178
solid	2.47236180904523	prediction	1	179
solid	2.49748743718593	prediction	1	180
solid	2.52261306532663	prediction	1	181
solid	2.54773869346734	prediction	1	182
solid	2.57286432160804	prediction	1	183
solid	2.59798994974874	prediction	1	184
solid	2.62311557788945	prediction	1	185
solid	2.64824120603015	prediction	1	186
solid	2.67336683417085	prediction	1	187
solid	2.69849246231156	prediction	1	188
solid	2.72361809045226	prediction	1	189
solid	2.74874371859296	prediction	1	190
solid	2.77386934673367	prediction	1	191
solid	2.79899497487437	prediction	1	192
solid	2.82412060301508	prediction	1	193
solid	2.84924623115578	prediction	1	194
solid	2.87437185929648	prediction	1	195
solid	2.89949748743719	prediction	1	196
solid	2.92462311557789	prediction	1	197
solid	2.94974874371859	prediction	1	198
solid	2.9748743718593	prediction	1	199
solid	3	prediction	1	200
solid	-2	prediction	2	201
solid	-1.9748743718593	prediction	2	202
solid	-1.94974874371859	prediction	2	203
solid	-1.92462311557789	prediction	2	204
solid	-1.89949748743719	prediction	2	205
solid	-1.87437185929648	prediction	2	206
solid	-1.84924623115578	prediction	2	207
solid	-1.82412060301508	prediction	2	208
solid	-1.79899497487437	prediction	2	209
solid	-1.77386934673367	prediction	2	210
solid	-1.74874371859296	prediction	2	211
solid	-1.72361809045226	prediction	2	212
solid	-1.69849246231156	prediction	2	213
solid	-1.67336683417085	prediction	2	214
solid	-1.64824120603015	prediction	2	215
solid	-1.62311557788945	prediction	2	216
solid	-1.59798994974874	prediction	2	217
solid	-1.57286432160804	prediction	2	218
solid	-1.54773869346734	prediction	2	219
solid	-1.52261306532663	prediction	2	220
solid	-1.49748743718593	prediction	2	221
solid	-1.47236180904523	prediction	2	222
solid	-1.44723618090452	prediction	2	223
solid	-1.42211055276382	prediction	2	224
solid	-1.39698492462312	prediction	2	225
solid	-1.37185929648241	prediction	2	226
solid	-1.34673366834171	prediction	2	227
solid	-1.32160804020101	prediction	2	228
solid	-1.2964824120603	prediction	2	229
solid	-1.2713567839196	prediction	2	230
solid	-1.24623115577889	prediction	2	231
solid	-1.22110552763819	prediction	2	232
solid	-1.19597989949749	prediction	2	233
solid	-1.17085427135678	prediction	2	234
solid	-1.14572864321608	prediction	2	235
solid	-1.12060301507538	prediction	2	236
solid	-1.09547738693467	prediction	2	237
solid	-1.07035175879397	prediction	2	238
solid	-1.04522613065327	prediction	2	239
solid	-1.02010050251256	prediction	2	240
solid	-0.994974874371859	prediction	2	241
solid	-0.969849246231156	prediction	2	242
solid	-0.944723618090452	prediction	2	243
solid	-0.919597989949749	prediction	2	244
solid	-0.894472361809045	prediction	2	245
solid	-0.869346733668342	prediction	2	246
solid	-0.844221105527638	prediction	2	247
solid	-0.819095477386935	prediction	2	248
solid	-0.793969849246231	prediction	2	249
solid	-0.768844221105528	prediction	2	250
solid	-0.743718592964824	prediction	2	251
solid	-0.71859296482412	prediction	2	252
solid	-0.693467336683417	prediction	2	253
solid	-0.668341708542713	prediction	2	254
solid	-0.64321608040201	prediction	2	255
solid	-0.618090452261306	prediction	2	256
solid	-0.592964824120603	prediction	2	257
solid	-0.567839195979899	prediction	2	258
solid	-0.542713567839196	prediction	2	259
solid	-0.517587939698492	prediction	2	260
solid	-0.492462311557789	prediction	2	261
solid	-0.467336683417085	prediction	2	262
solid	-0.442211055276382	prediction	2	263
solid	-0.417085427135678	prediction	2	264
solid	-0.391959798994975	prediction	2	265
solid	-0.366834170854271	prediction	2	266
solid	-0.341708542713568	prediction	2	267
solid	-0.316582914572864	prediction	2	268
solid	-0.291457286432161	prediction	2	269
solid	-0.266331658291457	prediction	2	270
solid	-0.241206030150754	prediction	2	271
solid	-0.21608040201005	prediction	2	272
solid	-0.190954773869347	prediction	2	273
solid	-0.165829145728643	prediction	2	274
solid	-0.14070351758794	prediction	2	275
solid	-0.115577889447236	prediction	2	276
solid	-0.0904522613065326	prediction	2	277
solid	-0.0653266331658291	prediction	2	278
solid	-0.0402010050251256	prediction	2	279
solid	-0.0150753768844221	prediction	2	280
solid	0.0100502512562817	prediction	2	281
solid	0.0351758793969852	prediction	2	282
solid	0.0603015075376887	prediction	2	283
solid	0.0854271356783922	prediction	2	284
solid	0.110552763819096	prediction	2	285
solid	0.135678391959799	prediction	2	286
solid	0.160804020100503	prediction	2	287
solid	0.185929648241206	prediction	2	288
solid	0.21105527638191	prediction	2	289
solid	0.236180904522613	prediction	2	290
solid	0.261306532663317	prediction	2	291
solid	0.28643216080402	prediction	2	292
solid	0.311557788944724	prediction	2	293
solid	0.336683417085427	prediction	2	294
solid	0.361809045226131	prediction	2	295
solid	0.386934673366834	prediction	2	296
solid	0.412060301507538	prediction	2	297
solid	0.437185929648241	prediction	2	298
solid	0.462311557788945	prediction	2	299
solid	0.487437185929648	prediction	2	300
solid	0.512562814070352	prediction	2	301
solid	0.537688442211055	prediction	2	302
solid	0.562814070351759	prediction	2	303
solid	0.587939698492463	prediction	2	304
solid	0.613065326633166	prediction	2	305
solid	0.63819095477387	prediction	2	306
solid	0.663316582914573	prediction	2	307
solid	0.688442211055277	prediction	2	308
solid	0.71356783919598	prediction	2	309
solid	0.738693467336684	prediction	2	310
solid	0.763819095477387	prediction	2	311
solid	0.788944723618091	prediction	2	312
solid	0.814070351758794	prediction	2	313
solid	0.839195979899498	prediction	2	314
solid	0.864321608040201	prediction	2	315
solid	0.889447236180905	prediction	2	316
solid	0.914572864321608	prediction	2	317
solid	0.939698492462312	prediction	2	318
solid	0.964824120603015	prediction	2	319
solid	0.989949748743719	prediction	2	320
solid	1.01507537688442	prediction	2	321
solid	1.04020100502513	prediction	2	322
solid	1.06532663316583	prediction	2	323
solid	1.09045226130653	prediction	2	324
solid	1.11557788944724	prediction	2	325
solid	1.14070351758794	prediction	2	326
solid	1.16582914572864	prediction	2	327
solid	1.19095477386935	prediction	2	328
solid	1.21608040201005	prediction	2	329
solid	1.24120603015075	prediction	2	330
solid	1.26633165829146	prediction	2	331
solid	1.29145728643216	prediction	2	332
solid	1.31658291457286	prediction	2	333
solid	1.34170854271357	prediction	2	334
solid	1.36683417085427	prediction	2	335
solid	1.39195979899498	prediction	2	336
solid	1.41708542713568	prediction	2	337
solid	1.44221105527638	prediction	2	338
solid	1.46733668341709	prediction	2	339
solid	1.49246231155779	prediction	2	340
solid	1.51758793969849	prediction	2	341
solid	1.5427135678392	prediction	2	342
solid	1.5678391959799	prediction	2	343
solid	1.5929648241206	prediction	2	344
solid	1.61809045226131	prediction	2	345
solid	1.64321608040201	prediction	2	346
solid	1.66834170854271	prediction	2	347
solid	1.69346733668342	prediction	2	348
solid	1.71859296482412	prediction	2	349
solid	1.74371859296482	prediction	2	350
solid	1.76884422110553	prediction	2	351
solid	1.79396984924623	prediction	2	352
solid	1.81909547738693	prediction	2	353
solid	1.84422110552764	prediction	2	354
solid	1.86934673366834	prediction	2	355
solid	1.89447236180905	prediction	2	356
solid	1.91959798994975	prediction	2	357
solid	1.94472361809045	prediction	2	358
solid	1.96984924623116	prediction	2	359
solid	1.99497487437186	prediction	2	360
solid	2.02010050251256	prediction	2	361
solid	2.04522613065327	prediction	2	362
solid	2.07035175879397	prediction	2	363
solid	2.09547738693467	prediction	2	364
solid	2.12060301507538	prediction	2	365
solid	2.14572864321608	prediction	2	366
solid	2.17085427135678	prediction	2	367
solid	2.19597989949749	prediction	2	368
solid	2.22110552763819	prediction	2	369
solid	2.24623115577889	prediction	2	370
solid	2.2713567839196	prediction	2	371
solid	2.2964824120603	prediction	2	372
solid	2.32160804020101	prediction	2	373
solid	2.34673366834171	prediction	2	374
solid	2.37185929648241	prediction	2	375
solid	2.39698492462312	prediction	2	376
solid	2.42211055276382	prediction	2	377
solid	2.44723618090452	prediction	2	378
solid	2.47236180904523	prediction	2	379
solid	2.49748743718593	prediction	2	380
solid	2.52261306532663	prediction	2	381
solid	2.54773869346734	prediction	2	382
solid	2.57286432160804	prediction	2	383
solid	2.59798994974874	prediction	2	384
solid	2.62311557788945	prediction	2	385
solid	2.64824120603015	prediction	2	386
solid	2.67336683417085	prediction	2	387
solid	2.69849246231156	prediction	2	388
solid	2.72361809045226	prediction	2	389
solid	2.74874371859296	prediction	2	390
solid	2.77386934673367	prediction	2	391
solid	2.79899497487437	prediction	2	392
solid	2.82412060301508	prediction	2	393
solid	2.84924623115578	prediction	2	394
solid	2.87437185929648	prediction	2	395
solid	2.89949748743719	prediction	2	396
solid	2.92462311557789	prediction	2	397
solid	2.94974874371859	prediction	2	398
solid	2.9748743718593	prediction	2	399
solid	3	prediction	2	400
solid	-2	prediction	3	401
solid	-1.9748743718593	prediction	3	402
solid	-1.94974874371859	prediction	3	403
solid	-1.92462311557789	prediction	3	404
solid	-1.89949748743719	prediction	3	405
solid	-1.87437185929648	prediction	3	406
solid	-1.84924623115578	prediction	3	407
solid	-1.82412060301508	prediction	3	408
solid	-1.79899497487437	prediction	3	409
solid	-1.77386934673367	prediction	3	410
solid	-1.74874371859296	prediction	3	411
solid	-1.72361809045226	prediction	3	412
solid	-1.69849246231156	prediction	3	413
solid	-1.67336683417085	prediction	3	414
solid	-1.64824120603015	prediction	3	415
solid	-1.62311557788945	prediction	3	416
solid	-1.59798994974874	prediction	3	417
solid	-1.57286432160804	prediction	3	418
solid	-1.54773869346734	prediction	3	419
solid	-1.52261306532663	prediction	3	420
solid	-1.49748743718593	prediction	3	421
solid	-1.47236180904523	prediction	3	422
solid	-1.44723618090452	prediction	3	423
solid	-1.42211055276382	prediction	3	424
solid	-1.39698492462312	prediction	3	425
solid	-1.37185929648241	prediction	3	426
solid	-1.34673366834171	prediction	3	427
solid	-1.32160804020101	prediction	3	428
solid	-1.2964824120603	prediction	3	429
solid	-1.2713567839196	prediction	3	430
solid	-1.24623115577889	prediction	3	431
solid	-1.22110552763819	prediction	3	432
solid	-1.19597989949749	prediction	3	433
solid	-1.17085427135678	prediction	3	434
solid	-1.14572864321608	prediction	3	435
solid	-1.12060301507538	prediction	3	436
solid	-1.09547738693467	prediction	3	437
solid	-1.07035175879397	prediction	3	438
solid	-1.04522613065327	prediction	3	439
solid	-1.02010050251256	prediction	3	440
solid	-0.994974874371859	prediction	3	441
solid	-0.969849246231156	prediction	3	442
solid	-0.944723618090452	prediction	3	443
solid	-0.919597989949749	prediction	3	444
solid	-0.894472361809045	prediction	3	445
solid	-0.869346733668342	prediction	3	446
solid	-0.844221105527638	prediction	3	447
solid	-0.819095477386935	prediction	3	448
solid	-0.793969849246231	prediction	3	449
solid	-0.768844221105528	prediction	3	450
solid	-0.743718592964824	prediction	3	451
solid	-0.71859296482412	prediction	3	452
solid	-0.693467336683417	prediction	3	453
solid	-0.668341708542713	prediction	3	454
solid	-0.64321608040201	prediction	3	455
solid	-0.618090452261306	prediction	3	456
solid	-0.592964824120603	prediction	3	457
solid	-0.567839195979899	prediction	3	458
solid	-0.542713567839196	prediction	3	459
solid	-0.517587939698492	prediction	3	460
solid	-0.492462311557789	prediction	3	461
solid	-0.467336683417085	prediction	3	462
solid	-0.442211055276382	prediction	3	463
solid	-0.417085427135678	prediction	3	464
solid	-0.391959798994975	prediction	3	465
solid	-0.366834170854271	prediction	3	466
solid	-0.341708542713568	prediction	3	467
solid	-0.316582914572864	prediction	3	468
solid	-0.291457286432161	prediction	3	469
solid	-0.266331658291457	prediction	3	470
solid	-0.241206030150754	prediction	3	471
solid	-0.21608040201005	prediction	3	472
solid	-0.190954773869347	prediction	3	473
solid	-0.165829145728643	prediction	3	474
solid	-0.14070351758794	prediction	3	475
solid	-0.115577889447236	prediction	3	476
solid	-0.0904522613065326	prediction	3	477
solid	-0.0653266331658291	prediction	3	478
solid	-0.0402010050251256	prediction	3	479
solid	-0.0150753768844221	prediction	3	480
solid	0.0100502512562817	prediction	3	481
solid	0.0351758793969852	prediction	3	482
solid	0.0603015075376887	prediction	3	483
solid	0.0854271356783922	prediction	3	484
solid	0.110552763819096	prediction	3	485
solid	0.135678391959799	prediction	3	486
solid	0.160804020100503	prediction	3	487
solid	0.185929648241206	prediction	3	488
solid	0.21105527638191	prediction	3	489
solid	0.236180904522613	prediction	3	490
solid	0.261306532663317	prediction	3	491
solid	0.28643216080402	prediction	3	492
solid	0.311557788944724	prediction	3	493
solid	0.336683417085427	prediction	3	494
solid	0.361809045226131	prediction	3	495
solid	0.386934673366834	prediction	3	496
solid	0.412060301507538	prediction	3	497
solid	0.437185929648241	prediction	3	498
solid	0.462311557788945	prediction	3	499
solid	0.487437185929648	prediction	3	500
solid	0.512562814070352	prediction	3	501
solid	0.537688442211055	prediction	3	502
solid	0.562814070351759	prediction	3	503
solid	0.587939698492463	prediction	3	504
solid	0.613065326633166	prediction	3	505
solid	0.63819095477387	prediction	3	506
solid	0.663316582914573	prediction	3	507
solid	0.688442211055277	prediction	3	508
solid	0.71356783919598	prediction	3	509
solid	0.738693467336684	prediction	3	510
solid	0.763819095477387	prediction	3	511
solid	0.788944723618091	prediction	3	512
solid	0.814070351758794	prediction	3	513
solid	0.839195979899498	prediction	3	514
solid	0.864321608040201	prediction	3	515
solid	0.889447236180905	prediction	3	516
solid	0.914572864321608	prediction	3	517
solid	0.939698492462312	prediction	3	518
solid	0.964824120603015	prediction	3	519
solid	0.989949748743719	prediction	3	520
solid	1.01507537688442	prediction	3	521
solid	1.04020100502513	prediction	3	522
solid	1.06532663316583	prediction	3	523
solid	1.09045226130653	prediction	3	524
solid	1.11557788944724	prediction	3	525
solid	1.14070351758794	prediction	3	526
solid	1.16582914572864	prediction	3	527
solid	1.19095477386935	prediction	3	528
solid	1.21608040201005	prediction	3	529
solid	1.24120603015075	prediction	3	530
solid	1.26633165829146	prediction	3	531
solid	1.29145728643216	prediction	3	532
solid	1.31658291457286	prediction	3	533
solid	1.34170854271357	prediction	3	534
solid	1.36683417085427	prediction	3	535
solid	1.39195979899498	prediction	3	536
solid	1.41708542713568	prediction	3	537
