x	ymin	ymax	PANEL	group
1	0.014915358444772	0.0300502936780679	5	-1
2	0.0103508088621396	0.0228767793067133	5	-1
3	0.00778345930969258	0.0199595319323451	5	-1
4	0.00702873915005308	0.0188837388043455	5	-1
5	0.00693914515887721	0.0200416990389392	5	-1
6	0.00686766651254912	0.0200276850671085	5	-1
7	0.00629926126260446	0.0189087773597814	5	-1
8	0.00629074530969262	0.0185946414059966	5	-1
9	0.00584126174733973	0.0177326270163398	5	-1
10	0.00536852135100018	0.0175309583146281	5	-1
11	0.00542951384436133	0.0177619883080387	5	-1
12	0.00505475006532038	0.0177927399955704	5	-1
13	0.00497546109385373	0.0177529843106998	5	-1
14	0.00488457227930219	0.0179902801577178	5	-1
15	0.00484667533032744	0.0180922605447468	5	-1
16	0.00474221710580234	0.0181817437136088	5	-1
17	0.00482797056375538	0.0183496612715019	5	-1
18	0.00458089464779043	0.0180559781554149	5	-1
19	0.00481599915403356	0.0182670242110335	5	-1
20	0.00482103547517844	0.0185110052247383	5	-1
21	0.00480094507010735	0.0180355103530421	5	-1
22	0.00484009761532481	0.0179622760641134	5	-1
23	0.00447512011351979	0.0180227027648788	5	-1
24	0.00479095687585935	0.0178656376935143	5	-1
25	0.00448698081653092	0.0180387886306679	5	-1
26	0.00465879426864393	0.0182790666530257	5	-1
27	0.00473348468278928	0.0180387016911535	5	-1
28	0.00454184953763263	0.0180433108001877	5	-1
29	0.0045708316639057	0.0181750186174958	5	-1
30	0.00456506645768386	0.0181661661637116	5	-1
1	0.00381939123978095	0.0102660083341001	6	-1
2	0.00365323355831191	0.00696756952087532	6	-1
3	0.00451527592003455	0.00595023687170491	6	-1
4	0.00401780143386433	0.00594120426555583	6	-1
5	0.00388945574210979	0.00572702915173735	6	-1
6	0.00380612870977069	0.00539009795370694	6	-1
7	0.00414376603750229	0.00573641535034413	6	-1
8	0.00459044187919339	0.00668290610485621	6	-1
9	0.00481943183477777	0.00675103246289524	6	-1
10	0.00457765480274281	0.00683841940286031	6	-1
11	0.0047037242523696	0.00748404296559522	6	-1
12	0.00481849888489098	0.00733843511982611	6	-1
13	0.00496144440389132	0.00720892395670452	6	-1
14	0.00490180915377637	0.0071651800265942	6	-1
15	0.0051907638956731	0.00714508603619931	6	-1
16	0.00513138623363675	0.00793161177345574	6	-1
17	0.00546729495235694	0.00853946324053769	6	-1
18	0.00561200628515238	0.00908382253223732	6	-1
19	0.00546492175479013	0.010099711185958	6	-1
20	0.00564037292116007	0.0108450321317812	6	-1
21	0.00577965733307989	0.0111646745991934	6	-1
22	0.00592358591938049	0.0113186239480088	6	-1
23	0.00617167024487235	0.0115092092148915	6	-1
24	0.00657853390759134	0.0119746055665373	6	-1
25	0.00664173145243662	0.0129510631469624	6	-1
26	0.00720755450145037	0.014416997598925	6	-1
27	0.00799800939044694	0.0155489777823177	6	-1
28	0.00888847604165997	0.0167891374425886	6	-1
29	0.00949906519375724	0.0172943143409962	6	-1
30	0.00976800284270538	0.0181485276754351	6	-1
1	0.000623508471386907	0.0080222571610972	7	-1
2	0.00197784093744997	0.00512332815328867	7	-1
3	0.00129003599019345	0.00451904182988751	7	-1
4	0.000953655121195798	0.00529754354683292	7	-1
5	0.000717070884230041	0.00597166353335122	7	-1
6	0.000437473354696516	0.00717633971127054	7	-1
7	0.000257198049400634	0.00851011825438417	7	-1
8	0.000650607033886169	0.00960183698329223	7	-1
9	0.000767529014687956	0.0106569078766771	7	-1
10	0.00111215217324504	0.0119705079493313	7	-1
11	0.00152025403283413	0.0126156789204254	7	-1
12	0.00159818443029683	0.0140185779516794	7	-1
13	0.00233769296287811	0.0148900462150468	7	-1
14	0.00314844641952282	0.0160472160589487	7	-1
15	0.0040859799828891	0.0169775481977705	7	-1
16	0.00429179198304035	0.0177759501675471	7	-1
17	0.00462364217870854	0.0188810936738707	7	-1
18	0.00518212623568517	0.0197134371323804	7	-1
19	0.00532252766237034	0.0206111231093943	7	-1
20	0.00600569017266818	0.0212822624164409	7	-1
21	0.00664067053310846	0.0222253667235986	7	-1
22	0.00721492035099449	0.0230044855984339	7	-1
23	0.00749031861059333	0.0236727955421943	7	-1
24	0.00786045440634147	0.0241181365596118	7	-1
25	0.00842275077071869	0.0248050783514454	7	-1
26	0.00892861283593895	0.0255347352966362	7	-1
27	0.00969146891974215	0.0262967485243601	7	-1
28	0.0103053313279787	0.0270487496317092	7	-1
29	0.0106524452073109	0.0277047276535026	7	-1
30	0.0113429791091878	0.0282300109856882	7	-1
1	0.00981336358630664	0.0173805288501442	8	-1
2	0.00961290186311789	0.0164038327098275	8	-1
3	0.00925105930037408	0.0127996821102227	8	-1
4	0.00823539647961541	0.0119902777978553	8	-1
5	0.00752215053703258	0.0109993048235904	8	-1
6	0.00748868665347082	0.0106145562403113	8	-1
7	0.00749135581119859	0.0102553582668753	8	-1
8	0.00627622797830712	0.00985591599130467	8	-1
9	0.00660499383364389	0.00983555927259635	8	-1
10	0.00750004444228186	0.0100827153194445	8	-1
11	0.00758458904475033	0.0100829173522991	8	-1
12	0.00746979918275805	0.0108586405800281	8	-1
13	0.00734621786912691	0.0115793030119171	8	-1
14	0.00741403958138582	0.0117830771872781	8	-1
15	0.00740292388513039	0.0126791810236728	8	-1
16	0.00769762371226447	0.013850391329139	8	-1
17	0.00858106865420742	0.0148347287077724	8	-1
18	0.00878126519378823	0.0151941688795848	8	-1
19	0.00890986644893732	0.0159096338986229	8	-1
20	0.00902596885497457	0.0170389740613308	8	-1
21	0.00919348509038711	0.0178817054816678	8	-1
22	0.00971185086741118	0.0179994569305659	8	-1
23	0.00940782646079299	0.0193810106051592	8	-1
24	0.0096685648262963	0.0194877329911344	8	-1
25	0.0103179626210334	0.0200159498295432	8	-1
26	0.0106710989308733	0.0212965438478432	8	-1
27	0.0112670770631686	0.0222671316286618	8	-1
28	0.0121759566741565	0.0236118151128784	8	-1
29	0.0121417071241312	0.0245061783317479	8	-1
30	0.0127831113618733	0.0245131374518815	8	-1
